content,content_source,source_id,auto_related,sentiment_label
恭喜恭喜车顶挺好看的,auto_home,4bc32435cd5bf89d9892c8942731e56f_34,1,1
这车不建议买，车身结构有大缺陷，中看不中用,auto_home,4341f95e78bc32908bd69e1bdcdec5c9_13,1,-1
验车忘看前仓，买回也没打开过。一切都从车电脑屏观察车子健康状况，Rx5智能化高,auto_home,8605,1,1
今天早上刚刚来检测的，我这车所有的情况你都可以在论坛里面看我的帖子~~~绝不忽悠！,auto_home,774e41cdde5837bff9681d78a47f44cb_4,1,0
开了48公里，感觉这个车还不错！,auto_home,54ae7f69b5463ec2b7f4bb282f9f8160,1,1
这款车型的前脸设计美感十足,auto_home,cdd9a100251281a522b37222f3e973c0_71,1,1
明显是新车舍不得下重手开的慢，省油理所应当,auto_home,6fac17c37a5388a59c391a8a73755e84_14,1,1
2014年2月的车，在13000公里时发现漏，你的还漏不？,auto_home,7516833a2f6d45d4fa9200e6ab02b219_82,1,-1
我记得第一次去看车的时候我就看过这款车，觉得各方面都不错,auto_home,54120739b3be8be010a97dd5cf293739_190,1,1
其实一开始考虑新能源的主要原因是上海的沪牌实在是太难拍到了，现在找黄牛，价格10万+。可这又是刚需限牌限的不要不要的，没沪牌的汽车在上海基本上就是废车了。朋友之前买了荣威E550，送了沪牌，把我的心思也弄活络了。上海这么堵车，买混动车不仅是搞定了牌照，以后用车也是省了一大笔费用啊。现在政策补贴力度很大，比较下来确实划算。看车看了一段时间，目前觉得荣威ei6是入手的首选，首先是外形完虐其它同级别的车子，好看的没天理啊，绝对的时尚大气，走精英路线，还有就是内饰两块大屏幕吸引了我的心，太好看大气而且实用了。试驾感受很深刻，能做到如此安静而轻快的起步动作实在是难得，混动ei6的隔音降水平真的简直了，车厢非常的安静，这点给我印象很深刻，买车就是为了家人能有一个宽大舒适安静的乘坐空间，荣威ei6在这一点上直接打动了我。平时基本上不跑长途，这个油耗方面表现的深得我心，期待以后荣威ei6的表现也能让我很满意吧。,auto_home,2efe27fddd38dcd8dfd603137f52f41f,1,1
我也有这情况，4S检测说我后悬架碰撞过，我也是醉了！,auto_home,37c3bbda73b65df394e5622646d819a7_10,1,-1
我的是有点方向盘不正 然后就是油门踏板共振 共振的问题你有吗？,auto_home,6d0703684ad4dba6439430d1e1cbb86c_15,1,-1
哥们你要拆车啊 我需要后保险杆 可以送我吗 还是要钱？,auto_home,11576925effb9c240521ae78dc0e3b9d_1,1,0
