content,content_source,source_id,auto_related,sentiment_label
博越可以的。,auto_home,36c7334b13e870c3b228da83b4e46520_20,1,1
首保都过来一个多月，昨天把这个液压分离轴承也给换了！有点不爽！,auto_home,5657fa0bbf49fa1ec9d79b7d4f841a8d_18,1,-1
五毛多一公里吧，很划算的。,auto_home,5ba0ae8ab299590dd792828cc54d606a_16,1,1
请问楼主，新减震器跟旧的有什么区别吗？我今天也去4S店投诉去了，已经从厂家发货过来了，不知道是发的改进过后的减震器还是老款的，不会换了过后还是响吧？,auto_home,2b2214d108282024bb613d04eb699180_66,1,-1
车不错，人也美,auto_home,37d26409b83dcf3e58ed9f9d5feff680_15,1,1
博越两万公里的考验，我对它更有信心,auto_home,4c1f0d71d876e5cf278b1ce9121bb42f_13,1,1
如果只是说说美国车好日本车好 美国制度完善 日本经济发达 那就是美猪日杂 那你这爱国论还是早点歇了吧 狭隘的爱国论者也属于愚民的一种 甚至危害更大,auto_home,631d88ac5da14488295feaf77aeb8bb9_18,1,0
高速只上过2次，100公里时速左右加速超车时，如果不急就经济模式或普通模式，急着超车或左右变道在大车中穿插时就提前找开运动模式，深踩油门时会强制降挡提高动力，自动挡还是电子油门，比我以前的手档拉线油门响应明显要慢一些。 哦，是正常情况。,auto_home,685018982d1a97788e7d014155dcef88_4,1,0
这你M还SUV呢！40厘米的水就瘫痪，挂不上档！售后还不索赔！这纯国产车还真坑人,auto_home,7982a33fdd5222b70b9196b9290f3507_1,1,-1
恭喜提车，我也觉得空间很够用， 后备箱虽然不大，但是够用， 适合一家三口,auto_home,6e2ed895ccb0f7c713e708ccb61cca38_3,1,1
我的RX5，也是30T，是宝石红4驱版的。春节期间，我开着RX5到了云南的西双版纳勐罕的望天树风景区自驾游，回程经过景洪、昆明、罗平等地，一路游玩回到广州，全程4千多公里。前两天，又跑了5百多公里，到了广东第一峰旅游风景区，爬了几十公里的盘山公路，深切地体会到了RX5 30T的强大动力，灵活操控和舒适的驾乘感受！我的RX5也遭遇到大家所反映的天窗异响、转向异响、冷车起动异响、后悬挂异响，车门异响等等各种异响，但这些对我这个机械工程师的老司机来说，都不是什么问题，因为我的本职工作，就是从事机械工程、汽车部件方面的，这些问题，在我提车后，我都一一解决了。但涉及到车辆控制系统软件方面的问题，我就束手无策了，尽管我可以使用一些简单的OBD系统检测仪，读取车辆控制模块的部分数据，但RX5管理系统的核心部分，没有编程、解码的硬软件，获得授权，是无法正常进入的，所以，这部分出现的问题，我们自己，包括很多有VDS系统的4S店，也不一定能解决的。在昆明的海埂公园，我开RX5走过一个楼盘的建筑工地时，道路有点颠簸，道路的两边都有隔离围墙，借着围墙反射回来的RX5行驶的声音，明显感觉到RX5的底盘有种非常松散的声音，特别是加、减油门的瞬间，有些金属敲击的声音，当时，我还以为是之前经过减速带时，车速没控制好，可能底盘有哪个位置因冲击过大导致脱落了。但走出这段围墙的道路后，一切又回复正常，直至以后的全部路途，也没有发生什么故障。看来是RX5本来的缺陷的~,auto_home,6168,1,-1
我的胖5开了一万多公里，油耗显示9.6。羡慕中。,auto_home,8ea9a1bf5ff239833bd3502d0ce89b30_31,1,1
我之前 为买ZS我只能把跟我几年说实话用顺手ZS出来颜值眼我就相中它 我战神红怎么样帅吧! 迷人前脸 自己加根锈钢装饰条 窗户也自己加装锈钢装饰条 前后门把手加电镀装饰 买新车还没牌就参加MG公司自驾游活动第次自驾游从成都出发到若尔盖再返回成都总行程两千公里全程所有开支公司全包个字爽! 我11号车车队吸引过往旅客霸气我车ZS顶配路走来红真给力到原红没点原反应 沿途美景尽收眼底 哥们些发现天有彩虹集体停车观赏彩虹美景 今风 映秀镇我第次来到这由震而出名方 若尔盖国家湿公园人美景美心情美 野鸭怕人 美吗!! 公司组织次节油赛本人自动档吹牛有图有真相百公里4.4L油耗我最牛B第名被本人收归名服来比比 第名废话电烤箱直接抱回家 车友合影 奖领烤全羊烤全牛吃起走… 这次愉快购车愉快玩耍 对于ZS我能卖用几年MG3再买MGZS我这么做自然有我道理事实证明我选择正确我会用专业述语来评价这部车各项性能指标夸夸其谈说它这样那样我只知道它完全达到我所 有要求对我而言性价比满意!别看广告看疗效我战神MGZS红给我实实在在美感受!,auto_home,15d250df5635936ba412b697b1bd0cda,1,1
听说这个车是被左转弯的车撞的！！这个级别这些安全配置还是很超值的！,auto_home,51f028177ffbd0e4a2e1a37c4a6c8b5a_4,1,1
还记得上次去朝阳市车世界比亚迪4S店看了实车，心里面就有一种想买的冲动，当时因为时间的关系，就简单的看了一下，顺便拍了几组照片，给大家分享了一下。回到家空余时间也在网上看各种关于宋DM的评测，在这期间出现了一款名为荣威ｅＲＸ５的车，也是混动版的，这在我选车的路程中，又出现一个纠结的问题，最后根据自己的预算还是优先考虑了比亚迪宋DM。在荣威身上有很多的数据没有宋DM的好，技术可能没有比亚迪的成熟吧，所以我还是考虑比亚迪的了。 这几天销售顾问一直给我打电话，说最近有什么活动之类的话术，满满的套路呀！最后一点激醒了我购车欲望，他说七月三十一号就会取消一万元电费的补贴，他建议我先试乘试驾，说上次没有去试驾，没有实际去体验这款的动力如何。 今天我再次来到比亚迪４S店，实际的体验了一下４．９S的感觉，我擦，真心不错，有一种想上手的欲望，试驾员说我可以自己去试驾一下。当我踩下油门踏板的一刹那，感觉老棒了，油门响应的很积极，强烈的推背感迎刃而上，感觉我有点驾驭不了它了。好了下面就跟着我的脚步去实际体验一下宋DM带来的驾驶感受吧1,auto_home,1f50a057110292a9fbd0dd9235b45dcf,1,1
提车真早啊，现在博越表现不错吧,auto_home,73a81cc79f408dd4cfd0b999025f8612_10,1,1
对，减震硬，这车过坑的感觉不舒服,auto_home,7cf7eee4dcd2627f61baf74208b557a8_44,1,-1
"????我的博越到我家刚满六个月零二十天，行程6151公里。爱车的表现没有让我失望，良好的通过性，舒适的座椅，智能的车机系统，完美的360度全景影像，精美而富于底蕴的内饰设计。。。。。。给我，给家人带来了安全和美妙的享受。无论严寒酷暑，无论风吹雨打，博越就是我们温馨舒适流动的家！ ????当初，之所以选择了博越智慧型，而PASS了rx5,哈弗酷派，现代新途胜，ix35,广汽传祺，长安cs75等车型，主要原因还是因为博越的6AT变速箱和1.8T的强劲动力让我情有独钟。 ????我是驾驶队伍的一名新兵，目前驾龄2年11个月。开过别人的五菱宏光两年多，然后有了自己的爱车——吉利博越1.8T智慧银，对车的好奇和钻研，让我长期徜徉于各大汽车论坛。尤其部分车贴对手自一体优点的介绍，让我蠢蠢欲动，跃跃欲试。 ????2017年7月15日，天气十分晴朗，结合周末回老婆娘家探望在外婆家度暑假的宝贝女儿，我开始了本次的体验之旅，全程手动驾驶，一是熟悉自动挡与手动挡的转换，二是体验手动挡加减档的衔接是否自然，三是体验手动挡在上坡、下坡过程中的动力转换，四是体验长时间下坡过程中手动挡的“刹车”作用，五是对比手动挡与自动挡油耗的消费情况。 ?????本次体验行程单边53公里，其中快速通道5公里，乡镇破碎柏油路20公里，山区水泥路路面28公里。跨越女皇故里广元昭化、利州和朝天三个县区，沿途有广元著名的风景点，荣山小火车，鱼河风光，麻柳侠，天星洞，汉王洞，穿洞庵和曾家古镇等，徜徉其间，有一种车行山水间，人在画中游的美妙体验。相信本次体验定是一次，十分有意义的体验之旅，让广大车友不仅能够一起交流车的使用心得，还能一起领略美妙的自然风光。从海拔400米，爬升到1500米，途中路面破损厉害，十分颠簸，坡陡路窄弯多。遇到了几年来首次国道大批借道大型载重车辆，数次堵车，上山全程耗时116分钟，油耗每百公里10.5升，下山全程耗时108分钟，油耗每百公里6.8升。时间较长的原因主要是堵车和沿途减速拍照耽误了部分时间。 操作方法：博越自动挡换手动档十分方便，当档把位于“D”的时候，直接掰到左边来就“OK”了，不需要考虑挂在几档上，车机会根据当前的转速自动切换相应的档位上。然后，通过档把前后搬动实现加减档，向前加档，向后减档。车友们也不许担心手动档车辆的离合配合和低速高挂现象。因为转速不到，加档不会有反应，而减档可以随意实现，这位下坡利用低速挡和发动机转速起到刹车作用，有效避免了自动挡越跑越快，需要长期踩刹车的弊端，既保护了刹车片，又提高了安全性。半坡起步也没有手动挡车辆离合和油门控制不好而后滑和熄火的现象，因为手自一体的车，手动档时始终是在1档上起步，不会快速的下滑，我反复体验，感觉车辆会缓慢的后移，甚至可以忽略不计。车辆在行驶过程中，如果速度变慢，也不需要人为操作，档位会根据转速自动降低档位。但是加档需要人工来完成，车机不会自动加档，油表会升高，明显能够听到发动机非正常声音，这就要主动加档了，每加一个档位，表显瞬时油耗就会降低一些。 ?????总体印象：操作十分简便，容易上手。加档十分平顺，不会有任何顿挫。减档明显感到降速和有效阻力产生。但过度衔接自然，比真正的手动挡汽车少了离合、挂挡和加油的三方配合，操作轻松。前加后减的换挡方式有点像摩托车换挡方式，不担心挂错档位，智能性和安全性都较高。 ???后记：各位车友，我车龄短，好奇心强，喜欢钻研和体验，分享的体验可能有很多错误的地方，欢迎老前辈和广大朋友指正和交流，不管好的意见和不好的意见，我都虚心接受，共同提高对车的认识，对手自一体使用的技巧，保一生平安！欢迎大家顶帖和交流！",auto_home,42927a90845520b8da2e45295d2c6529,1,1
SUV的车身尺寸决定了这个车实用度，2700mm的大尺寸很养眼。,auto_home,8510,1,1
4s根本不睬你啊,auto_home,56f0c1721af65b563db267aefcf32b61_35,1,-1
首先，你想买一辆车的话必须从它的外观上做选择,auto_home,78d2b58b732c5f45da4948e78345442f_74,1,0
对于国产我有话要说 今天是个好日子 看见大飞机C919一飞冲天，心中的自豪感自心底油然而生，对于国产的汽车也有一定的期望，虽然现在还有这些或那些的问题，但是对未来还是有着非常的可期待的，连飞机这么庞大的，复杂的，系统的大项目都能攻克成功，难道在陆地上小小的汽车还会有什么不能搞定的吗，答案是肯定的。 未来会更好更快的发展，只要我们自己心中有理想！！！,auto_home,413fc610517c9a9b7fce9957f5fb3c8b_13,1,1
我也遇到过一次，手动、遥控都打不开后备箱，后来暂时没管它，开了50多公里到了目的地后，再开后备箱一切又正常了，一直到现在。心里一直有点阴影，生怕哪天突然又会出现这毛病。打听过有不少950车友都有过这情况。,auto_home,194a24847e4cea10711b7ffa279b1597_3,1,-1
兄弟想买这车，小毛病多不,auto_home,2ee819d37d0e4bda053cc4732e7139d6_193,1,0
我的后视镜转向灯坏了也没报警,auto_home,1a0e6004998fba120045102fcbea8119_10,1,-1
安全行车，博越的安全配置很豪华，常来常往,auto_home,6f62d4c1f37846ac4ce05ee10a2f4b71_10,1,1
"09款mg31.8L,每天早上P档点过，第一次挂到D档的时候老是熄火，然后，推到N档重新点火，再挂D档就不会熄火了了，求大神们帮忙找找原因",auto_home,48909b74145cf4b2e563315b3e088337,1,-1
我就是嫌排量小天窗打不开，没有全景影线所以买了博越智尊,auto_home,3db335b03fe894ef71bf5159824a8d3b_127,1,0
车不错， 风景不错 姐夫不错。 相机太差。,auto_home,8860d20a52f1e2167b6e07f718c93a40_39,1,1
同事最近也在开ZS，视野开阔,auto_home,5e4cbb3b6c97ea8acdb4b861558e6fc3_88,1,1
5070不错 比上个月多不少。,auto_home,7ef18aa46889846364f278ffe4f94f93_1,0,
车主35了，都说三十而立，我这都立了一半了。以现在成功男人的标准，除了老婆孩子热炕头外，还得多个车子吧。之前也不是没有车，只不过是个摩托车。今年好多和我同龄的朋友都买车了，自己是少有的几个人没混上小轿车的。就和媳妇商量，今年砸锅卖铁也要弄个车开开。好在这几年在做了点生意，在市场里批发蔬菜和调料，一年挣得不算多，除了养家糊口外还能攒下点闲钱。所以车可以开，但是全车的预算不是很高，首付6-7万都可以接受。朋友买的h6，自己也上去开过，感觉还不错。本人对动力没什么要求，给油门能走就行，主要是h6的外形和空间是挺吸引我的，十多万的车做成这样绝对物有所值了。但是和朋友说后，朋友说让我可以去看看荣威rx5，也是差不多价格的，一个级别的。两个认识的人开同样的车怪怪的。之后朋友带着我去的4s店，看到rx5，第一眼感觉就是大气稳重，又进车里看，全是高科技啊，那么大的显示屏，比我朋友的三个大了，试驾一圈后，动力也很好，各方面都很满意！就是它了。目前车开了10000多公里，主要是去店里和接孩子用，说说几点感受吧。1用现在的话说，颜值很好，稳重、大气是我对车外形的评价，2空间很大，出去时，都是我开车，媳妇坐副驾驶，孩子坐后面，都很宽敞。自己也坐到后面试了试，175的个子坐在后面前后还能余出一拳的距离。3油耗下面有，可以看看，8.5对于这么大的车，已经很省油了。4舒适性很好，老婆和孩子都是坐着挺舒服的，,auto_home,6835113caddd2bc9b2e0dd2d2051d283,1,1
哈哈 是啊 迷了15年了 有球必看的我 不过大哥当我们中国的球迷真苦逼啊 同样当我们自主车的车主也是苦逼啊 呵呵 希望上汽的350能不像中国足球那样 看着身材外形不输于任何对手 可一比较内在就毛病多多 现在350刚刚有起色 可是听说要减配 真是啥都像大众学啊 不学人家的百年品质的 足球也是 呵呵 弄来了魔兽阿爷有嘛用 不如踏踏实实搞好场地设施青训系统 呵呵,auto_home,52df1fd00ae4ca84877aac07fa70e00f_128,1,-1
2.0排量，我习惯大脚油门，目前小熊油耗9.7，这车很省油,auto_home,2d2c09ebb20f2f58053d4d9b4fae971e_5,1,1
动力怎么不说？车内异响，加速无力，上坡无力，空调不制冷的问题呢？还有4at真的是技术成熟么，为什么不用6at？还不是为了节约成本,auto_home,276e464b022e587efe6f36136e1d2d8a_2,1,-1
唐的遥控驾驶、ESP、 DVD多媒体系统、GPS导航配置很丰富，感觉唐在科技含量上提升很给力，不失为一款适合家庭用车的首选之一。,auto_home,70ad4cffdee7987afc62d07b25c534ce_48,1,1
思域有点矮，个子矮的小年轻买估计不错,auto_home,19215,1,-1
rx5很不错，很动心,auto_home,25506,1,1
个人真心觉得这车不错，空间大不说，外形也好看，还省油。,auto_home,3f28e53b297124936dc4b00ed15cea80_11,1,1
尾灯采用的是北斗七星排列看上去非常的漂亮，很迷人，夜间的时候绝对是一道风景线,auto_home,4e0e5270830cbbc5cad33ad477b9de26_16,1,1
车子的内饰用料设计 跟不上时代，动力系统又美什么亮点，所以就平庸了,auto_home,5f1d7a31ddc9be872a1f523c9ec3763f_5,1,-1
砂纸打磨效果是不明显的。 要证明这个问题很简单，崭新的雨刮用砂纸打磨试试看，就会变得非常差了。 砂纸打磨胶条的效果完全取决于，雨刮的使用时间，雨刮使用的时间越是长，打磨的效果越是好。 我估计你的雨刮是2年后才打磨的，所以才会有不错的效果。如果换成是新车打磨试试，嘿嘿！,auto_home,7499c1e3cf7ed378252c604082513bd4_208,1,0
轮椅刮痕不好修复,auto_home,78a4ed752f45d63ab6f97b5349037880_8,1,-1
楼主这个颜色不多见，配这个车身挺好看的,auto_home,d11a590798d9b7f398d220a75063ce30_207,1,1
