content,content_source,source_id,sentiment_label,auto_related
嘿老乡，烟台哪里的？我是牟平的。suv油耗真伤不起,auto_home,2c5f214c34680913dde6c673b2dbd63d_140,-1,
活动很给力啊，济南车友来访，欢迎回访~ ? ?我这新手新车纯市区开到11.6个油，跑高速肯定还要降的啊，我觉得可以接受，同事的翼虎市内15个油.......,auto_home,6141471a3451192d19dd41f9326e2da6_43,0,
快车没有帝豪GL这个车型啊,auto_home,1fcea1fbd0a7f032ce68fc10f55f3f77_30,0,
购车在即啦，但是还没有时间去4儿子店试驾。在这里想问问各位新老司机，RX5的底盘行驶质感如何。就拿小黄车和摩拜单车做对比吧，我坐过一些日系和德系的车，感觉德系过颠簸路面就像骑厚重的摩拜，日系呢就像小轮小黄车。都说RX5悬架有点硬，到底开起来如何呀？谢谢大家解答！,auto_home,4f83e9a76c79391716b7fc67b73d4431,0,
看上去感觉地盘更低了，本来就低。,auto_home,615099b4f396f88f725cdecf225f29e1_110,0,
找媒体，4s就重视了,auto_home,79c781ee6ae87f5137c0a84782b303e5_39,ns,
参加过好多次SSSS店的活动，没买车的时候总是告诉有有团购了，买车之后也有车主讲堂、续保优惠什么的。这回接到了电话，告诉我我有机会参加个节油赛，进总决赛了还可以去海南比赛，吃住全包，还有这好事儿呢呀，于是就答应了下来。当初买车选车就选了一段时间，最后才决定就它了。我个人觉得，买车要考虑的第一位，就是安全，而上市越久的车系，技术应该就越成熟吧，这款车的安全性我想一直都是值得肯定的。虽然当初考的是手动挡的驾照，但是换挡的阴影至今还历历在目啊，所以一考完就再也没摸过手动挡的车，必须选择自动挡呀。坐垫什么的没有垫，因为我觉得垫了是好点，但总觉得应该不至于不垫坐垫就脏了吧。而且平时几乎只有我一个人开着上下班，我经常加油的时候不记得邮箱在哪边，真的也是尴尬呀，每次加油都是两百块，可以开很久，因为每天开着上下班来回也就10几公里的路程。轿车肯定要比SUV油耗低了。还有很多细节下次再拍照了，今天我要说的就这些。,auto_home,6d8b0bf625980a36c0af765401a50878,1,
支持小哥哥，这款车，我一直都挺喜欢的。,auto_home,26ce9ecd9405590c3a50b8158bffd2d7_62,1,
是不错！很有MG 6 的味道！继续,auto_home,241e00b3eeb1f70d82ab939b91977dcd_121,1,
我就喜欢折腾，这车很适合我哈哈,auto_home,64d65b029800e8a4f814d4a9017a30c5_13,1,
汽车质量投诉啊，百度一下,auto_home,24331,-1,
博越值得等哟,auto_home,18b260a43e06ce7a15841e081f488a23_10,1,
我是2.0四驱版的，市里大概8-9毛一公里，国道6-7毛一公里，踩猛点一块钱一公里。,auto_home,9365,0,
我的一直都是110转速3000这样，不知道是不是真有误差,auto_home,77ac4ce71547c09dfcbd7e1901db73f5_4,0,
看来都玩美了，感谢博越吧,auto_home,7d01cd9de5968cc53a783836a11ce36d_49,1,
就是吗 真心觉的大众觉的我们老百姓是傻的,auto_home,18094310189537d2c9a9e12579ada986_12,-1,
