content,content_source,source_id,auto_related,sentiment_label
荣威550&nbsp;1.8T品逸换辆自动档或者SUV开开跑7万9千公里&nbsp;&nbsp;改装18寸轮毂&nbsp;225/35&nbsp;R18胎&nbsp;&nbsp;空气悬挂&nbsp;&nbsp;原装奥迪A6L海拉5双光透镜+恶魔眼&nbsp;&nbsp;还刷过ECU&nbsp;1挡破70&nbsp;&nbsp;挡破110刚换全车油水&nbsp;&nbsp;离合件套&nbsp;&nbsp;元宝梁胶套&nbsp;&nbsp;&nbsp;后对羊角总成&nbsp;&nbsp;前摆臂&nbsp;&nbsp;后摆臂&nbsp;&nbsp;&nbsp;清洗过节气门&nbsp;&nbsp;喷油嘴&nbsp;&nbsp;油路以及元催化器手动档开腻&nbsp;&nbsp;想换辆自动开开,auto_home,3937ffee87c04e790bc0da91a7fe4025,,
你滴车得上牌没有？,auto_home,10160ef49f47dc8599690bb48b1ceccc_41,,
最好不动，安也比较难，我的费了好大劲拉了下来，到4S也没安上，最后，我不得以，用小刀削了一圈，涂上油才又套上， 问题是弄不好，前挡风就玩完,auto_home,56f54bec0822fde4b46bc8e014d02a12_4,,
不知道什么问题，我的也不稳，不开空调也会跳转速。。清洗节气门了。不管用。。,auto_home,196dcc3fd68265d4294120415a19e743_4,,
车子贵就过来借 深有感触,auto_home,456f2b6e63656bc1f976816e128d10bf_11,,
所有拆车坊都在埋汰荣威，估计是上汽公关没搞好。当然不能说荣威底盘多好，就是一个中间水平，没有大的瑕疵也没有太多优点。视频上来就说20万的车，塌怎么不说12万？事实上荣威的传动轴并不是全裸，只是槽浅些。客观说荣威底盘不算太好但也不算太次，毕竟是6纵三横底盘，比起4纵如何？,auto_home,72e86cfbf94a8b0c003f163648681256_6,,
这几年班上下来，自己也存了点钱，想想身边的人好多都买车了，于是动了念头。经过筛选，选择了荣威360，办好了10w不到，家用车，我觉得这个档次的也还行了。购买荣威360的一方面原因是外观，之前在路上就遇见过好几次，我觉得挺好看的，整体的一个车身看上去十分的流畅，是我喜欢的运动款轿车，不呆板，符合我的一个审美观念。我这6月份才买的新车，就跟打仗似的，乡下路不好，灰尘也多，千万不要嫌弃我的技术不好，我这手机像素不行，跪求真实，无p无磨皮。前脸没车之前去哪都是坐车，上车睡觉是习惯，很少去关注交通状况，保养常识，节油技巧。但当自己成了司机，恨不得一下子都能领会，真心验证了一句话，书到用时方恨少啊有辆属于自己的车，已经很满足了，&nbsp;10w左右的车，家用代代步可以了，当然了，有钱人随意,auto_home,6253b669efb82b24b6a9bf18fcb2a2b6,,
博越真的不错，值得拥有，求回访,auto_home,4a812aa5f355f65928fafe8c367b5c4a_17,,
"crv,思域都是飞度的底盘。",auto_home,21668117585bda5f71e35ad50a3d6d9b_30,,
不仅不心疼，更不用担心哈弗的高油耗了。呵呵。,auto_home,142ce440a75e891f94dd5bf46d6de116_82,,
1.0T发动机装到家用车上真的够用了，也不会天天跑长途....,auto_home,26203,,
博采众长，驾越不凡！,auto_home,575cd5c8b1cf1e9f47c223e4f826dd51_179,,
先上一张美照 作为人生中第一辆属于自己的车，在经过一段时间的观察了解后，毅然选择加入GS的大家庭。 第一次在路上看到GS时还以为这是一辆十二三万的车，当后来了解过后才发现，GS真心是拥有极高性价比的一辆车，正好打算买辆十万以内的车，终选择GS。 6月30下午来到四海店里看车，销售人员很热情，细心讲解，趁着当天活动订车，7月1日来店提车，一切顺利。我的小金在年中第一天交到了我的手里 毕竟90后嘛，喜欢个性，于是乎自己做一些廉价的外观小改，目前算告一段落了，日后金钱充裕时再接着改 到今天已经开了一个半月，1500公里，GS并没有带给我任何负面体验，在市区舍得给油基本是一路超车因为时常会带家里老人，GS给足了充分的后排空间，全景天幕也让车内显得非常敞亮，这里要给GS点个赞。 下面开始看一波美照，技术有限凑合看,auto_home,47c51fcf848efb8dbce6010bf768b217,,
表显是9.5，实际应该快11升，又堵车又开空调，加200块油都开不了300公里,auto_home,3bb03d8ca26ee78af382cd882dd4481f_13,,
LZ  太牛了  马六后视镜那个三角形位置刚刚好吗？,auto_home,59c4bf21930a3e2b24f4b265ed6f30c0_142,,
这车开起来隔音怎么样,auto_home,758a99669a5903079e2fe954c5ab3690_78,,
对的，选择荣威没错的,auto_home,5770beda7b6065767d99749bd034cfbd_106,,
我朋友也有一台同样的车，还不错。,auto_home,5f5c1526f57a04657164816e1614cc72_46,,
接着来，，，，，嗯，越改越国产样，越改越丑几吧,auto_home,4f3c948237ef448c1969326a378e3411_14,,
如果我们博越能用上沃尔沃发动机就好了，油耗决对能降下来,auto_home,1aedf86eaf5ddac433b36b5dcf809662_59,,
今天去4s店提车，之前定的是红色1.5T的智享，到了之后老婆看见蓝色的，她说蓝色比红色好看，可是店里蓝色只有低配的，销售叫我们等几天，我喜欢红色，她喜欢蓝色，大神们支个招吧,auto_home,72fd7d0ab2a0f98a03a97bfc08d742ca,,
"但从我们荣威550看,漆应该是荣威的强项才对.",auto_home,502bb8a2b7b34e6b157a15ec89addfc3_21,,
哈哈，买车就是个代步工具，性价比差不多我觉得就行了,auto_home,2c5734d4575fb0547ff88932b4e127ce_17,,
哥们  荣威车费油吗 ？？ 我听好多人说同等价位 荣威比其他车费油,auto_home,784445e2b20a2e7250012cf19d7f0038_171,,
车挺好看的，奇瑞的车就是稳，如果换车还是奇瑞,auto_home,5cedf0774e8daa3fa308faec38d22790_5,,
外形有点闷闷的感觉，底盘好低啊。。。。。,auto_home,1e195c2abbee88f252312a4c3f57f921_13,,
选车背景： 身边人都买车，我也就顺其自然步入买车大道，当时应该也看了很多车的，总要多比较比较的。我就记得自己差点就买了别克英朗了，就是价格比360的要高，内饰做工还差不多，甚至我觉得英朗的塑料感更强，后来也就不了了之了。 用车感受： 360给我最大的感受，就是油耗低，逢人必夸的一点，就算现在是一上车就开空调，但也才5毛多，6毛还没到，这个数字不得不服！话说回来，油耗多少，也要看个人水平的，新手不知道技巧，大脚油门，大脚刹车，应该是正常的，而这种情况肯定油耗会高的。 动力，试驾的时候就有感觉起步有点不给力，但到了后面提速还是蛮快的，凡是不能要求绝对，将就将就。不过只要你舍得踩油门，我觉得动力都不会肉到哪里去，又不去要去翻山越岭，家用轿车而已。 其次，空间，很大。麻雀虽小五脏俱全，也就差不多这个意思了。从外面看不觉得空间有多大，但坐进去就深有体会了，后排坐4个都可以，很大很宽敞，坐着不挤人。 至于，舒适度，只能说还行。车子减震偏硬，每次过减速带的时候，都会跳一下，我也挺无奈的。 晒车过程： 为什么感觉我拍出来的侧面略显臃肿，其实还是比较修长的 眼睛造型很锋利，可惜是卤素的，最起码标配个氙气大灯吧 车身轮廓很有线条感，也很有运动感 屁股很翘，底盘高度我很满意，一般的路面通过无误 轮毂有点小，不够大气 虽然已经买了好久了，但是外观也仍旧没有落伍，看上去还是一样很舒服的，接着说内饰吧！ 自我感觉360的内饰还是挺厚道的，塑料感也是有的，但还可以接受的，这个价格的车都难免，但我觉得比很多合资企业好很多了，设计方面我还是满意的，比较简约时尚。 8寸中控屏，哪里都好，就是没有导航，表示无语，还要用手机去导航，确实挺麻烦的。不过有个carplay，这个倒是挺实用的，可以连接iphone的，操作起来也很简便。 电子助力方向盘轻巧，指向准确，转动起来很方便 简单大气仪表盘，科技感十足 换挡平顺 门板开合度都还可以 头顶距离刚刚好，坐进去还有一拳头，本人177 后备箱和储物空间也都不错 认证！,auto_home,236a5386d3ffdb0491a38e03d0405035,,
车子拍的挺6的，景色也横不错呦,auto_home,4816211c197e3c29d1cd209a566b6ec1_230,,
下坡你没踩油门换毛线档。。。刹车和油门一直有异响，已习惯了，不影响使用和面子问题，不像压缩机噪音，自己听了受不了，别个听了没面子，，，,auto_home,33f37379fdeb5dd1d31f909ab83dbe2e_1,,
