source_id,content_source,content,auto_related,sentiment_label
7a1e66d84c4e0e91556f4c1fdf550e5f_13,auto_home,貌似我没有 呵呵 挺幸运 LZ说的这个问题刚买来的时候有的 现在没有了 呵呵,,
7a25f7b311207dcae365c1d270b73ef5_1,auto_home,难道我买到是假荣威，油耗比你们的要大一倍，兄弟们在实际驾驶中天天能有这么低的油耗我才佩服。,,
26606,auto_home,购车时间:2016年12月1日购车点：潍坊吉利福链购车车型：手动智尚2.0L购车价格:108800赠送礼品：原厂脚垫提车后，目前行驶3500公里，说实话，我到现在也没有拉几次长途，平时开的少，哈哈，跟新车一样的。外观：带有中国风的内敛设计符合国人审美，在博瑞被吉利推出之时，就被冠以了“最美自主车”的誉名，事实也的确如此，四平八稳、成熟但又不失现代感的外观让大众给予了其无限的好评，而今天我们这位主角，与博瑞同为吉利“第三代产品”的博越依旧延续了博瑞身上一切“最美”的风格。,,
1211c3bed5e66a72d760db6e155837e4_98,auto_home,车型还不错，是我喜欢的款,,
37d5b02d9943474800bb9f844c33580d_52,auto_home,这车的颜值、空间都没的话，我一个新手也不需要担心什么动力，但是比较担心油耗问题，楼主这款车的油耗怎么样哈,,
37648f8888b01c2633147f2095f6b926_140,auto_home,引用: 原帖由 wangjiadeyz2009 于 2011-08-17 17:25 发表在 139 楼 嗯 看了你以前的一个帖子，以前没拉黑顶。。。貌似你拉了黑顶把鲨鱼鳍拿掉了？我也准备拉个黑顶，弄个尾翼。。很不错 希望早日看到@！,,
3c3a19b69e05344cc7139af0b04c7063,auto_home,首先要祝贺下自己终于买了第一辆车，高兴，就是高兴！ 背景： 自己刚参加个工作不久，单位离家有点远。要坐快客，在做公交车，一趟单程要1个半小时，碰上堵车，时间就说不好了，每天早起晚归，真的很疲惫。 开始的时候和家里商量说要不在单位附近租个房子算了，省的来回跑，等周末的时候在回家。可自己有算了笔帐，自己要是租公寓的话，一个月要将近2000块；要是租个合租的话，起码一个月下来也得1000吧，一年下来都要1-2W了，太不划算。要是这么几年下来，都够买个车了。最后就和父母说买辆车吧，起码还有个东西在，每个月还点月供就可以了，省的来回折腾，在说买车家里也可以用，图个方便。父母听完后，很痛快就同意了。 选车: 选车第一要考虑的就是不能太贵的，首付承担不起，日后的月供也不好还！其次油耗也要低低低，不能买个喝油的，油费就又要好大一笔钱，最后还要稍稍考虑下家用。 所以初步定的就是名爵ZS，昂科拉，东南DX3。 昂科拉价钱就有点超出预算，油耗也是个大问题，在网上看，说油耗差不多赶上个中型小轿车了，耗钱耗油，PASS掉。 东南DX3算是比较理想的一款车了，外形小巧精致，很符合我的审美标准，看网友评论的油耗也还可以，在正常范围内。但是无奈我这优惠力度不大，只送点东西，待定中。 最后去看的名爵ZS，和东南DX3属于一个类型的，但是比DX3多个全景天窗啊，这个正中我意，并且恰巧这款车在搞活动，力度很大，最后就决定选名爵ZS。 车目前开的还很少，处在蜜月期，全是优点，以后会找机会在补个感受作业的。          下面请欣赏图片：,,
b87bf798bcfd4c0b2acf661fdb0bb9d0_18,auto_home,就是喜欢这款车，不错的样子。,,
1ab6c7f13985e343427c8218c97310f4_4,auto_home,城区这个油耗可以啊，你的手动波吧,,
17821,auto_home,刚提20天，看不懂，求，哪个才是评论油耗,,
